chain,taxonomy,risk_level,risk_category,taxonomy_ids,source_file,copied_file,copied
bsc,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2021/0x974a8959c52f6109c59d0a6d63d4ea4cc522dfa2_OniRouter02.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/001_T1_UNSEPARATED_SIGNING_DOMAIN_0x974a8959c52f6109c59d0a6d63d4ea4cc522dfa2_OniRouter02.sol,yes
bsc,T1_UNSEPARATED_SIGNING_DOMAIN,High,missing_eip191_prefix,T1_UNSEPARATED_SIGNING_DOMAIN,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2025/0x58769d5ab72e252d611f9c6979e9b735f5a95e0b_V3Migrator.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/002_T1_UNSEPARATED_SIGNING_DOMAIN_0x58769d5ab72e252d611f9c6979e9b735f5a95e0b_V3Migrator.sol,yes
bsc,T1_UNSEPARATED_SIGNING_DOMAIN,High,missing_eip191_prefix,T1_UNSEPARATED_SIGNING_DOMAIN,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2023/0xdef3d714bae5bf2e867b8d45e7c82dd55147ca5e_Exchange.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/003_T1_UNSEPARATED_SIGNING_DOMAIN_0xdef3d714bae5bf2e867b8d45e7c82dd55147ca5e_Exchange.sol,yes
bsc,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2022/0x4fd7d13c126ece5c3fe7a839871b242971d259b3_IswapV1Router02.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/004_T1_UNSEPARATED_SIGNING_DOMAIN_0x4fd7d13c126ece5c3fe7a839871b242971d259b3_IswapV1Router02.sol,yes
bsc,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2025/0xb4ea02dda4295148097a2d56715408971c8f474e_GCRouter.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/005_T1_UNSEPARATED_SIGNING_DOMAIN_0xb4ea02dda4295148097a2d56715408971c8f474e_GCRouter.sol,yes
bsc,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2021/0x3bca8c47729620d36011c340970860c14acb58b9_WizardRouter.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/006_T1_UNSEPARATED_SIGNING_DOMAIN_0x3bca8c47729620d36011c340970860c14acb58b9_WizardRouter.sol,yes
bsc,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,stale_cached_DOMAIN_SEPARATOR","T2_CROSS_CHAIN_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2021/0xa126c73d1bdf3a3d5f719a8d38a4692186e7503f_PermittableToken.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/007_T2_CROSS_CHAIN_REPLAY_0xa126c73d1bdf3a3d5f719a8d38a4692186e7503f_PermittableToken.sol,yes
bsc,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,missing_chainId,stale_cached_DOMAIN_SEPARATOR","T2_CROSS_CHAIN_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2023/0x296ffa29358933246eac107cb4ee309a2c29ef39_FilterFactory.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/008_T2_CROSS_CHAIN_REPLAY_0x296ffa29358933246eac107cb4ee309a2c29ef39_FilterFactory.sol,yes
bsc,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,missing_eip191_prefix","T1_UNSEPARATED_SIGNING_DOMAIN,T2_CROSS_CHAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2022/0x9be78e4204d5064bf893c0e468970da4a22874cf_DFSMafia.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/009_T2_CROSS_CHAIN_REPLAY_0x9be78e4204d5064bf893c0e468970da4a22874cf_DFSMafia.sol,yes
bsc,T2_CROSS_CHAIN_REPLAY,High,hardcoded_chainId,T2_CROSS_CHAIN_REPLAY,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2026/0x726eb61ff42372e4d8343d548d396819bcceee19_LeverageRfqEngine.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/010_T2_CROSS_CHAIN_REPLAY_0x726eb61ff42372e4d8343d548d396819bcceee19_LeverageRfqEngine.sol,yes
bsc,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,incorrect_verifyingContract","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2021/0xe04e9fd5a06a02a2ebc773e500d19847fdab126f_Settlement.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/011_T2_CROSS_CHAIN_REPLAY_0xe04e9fd5a06a02a2ebc773e500d19847fdab126f_Settlement.sol,yes
bsc,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,stale_cached_DOMAIN_SEPARATOR","T2_CROSS_CHAIN_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/binance/verified_sources/2023/0xc3cf6ae22a2f206f3c561c1b4bd934ca2c1d71ad_SolarFactory.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/bsc/012_T2_CROSS_CHAIN_REPLAY_0xc3cf6ae22a2f206f3c561c1b4bd934ca2c1d71ad_SolarFactory.sol,yes
